date,total_count1,total_count2
2006-07-01,5058,0.0
2006-07-02,7437,0.0
2006-07-03,7248,0.0
2006-07-04,8280,0.0
2006-07-05,27189,0.0
2006-07-06,6391,0.0
2006-07-07,8971,0.0
2006-07-08,9240,0.0
2006-07-09,4380,0.0
2006-07-10,6320,0.0
2006-07-11,5020,0.0
2006-07-12,5429,0.0
2006-07-13,3753,0.0
2006-07-14,4283,0.0
2006-07-15,10839,0.0
2006-07-16,4758,0.0
2006-07-17,13214,0.0
2006-07-18,15244,0.0
2006-07-19,11754,0.0
2006-07-20,8499,0.0
2006-07-21,13023,0.0
2006-07-22,3928,0.0
2006-07-23,26769,0.0
2006-07-24,10926,0.0
2006-07-25,6497,0.0
2006-07-26,9888,0.0
2006-07-27,7785,0.0
2006-07-28,14514,0.0
2006-07-29,4485,0.0
2006-07-30,4309,0.0
2006-07-31,9667,0.0
2006-08-01,10163,0.0
2006-08-02,10020,0.0
2006-08-03,4905,0.0
2006-08-04,12395,0.0
2006-08-05,4441,0.0
2006-08-06,7427,0.0
2006-08-07,4602,0.0
2006-08-08,12687,0.0
2006-08-09,10342,0.0
2006-08-10,9983,0.0
2006-08-11,13588,0.0
2006-08-12,10778,0.0
2006-08-13,6152,0.0
2006-08-14,8407,0.0
2006-08-15,14900,0.0
2006-08-16,12159,0.0
2006-08-17,31044,0.0
2006-08-18,7270,0.0
2006-08-19,9433,0.0
2006-08-20,11091,0.0
2006-08-21,25218,0.0
2006-08-22,23246,0.0
2006-08-23,17390,0.0
2006-08-24,11629,0.0
2006-08-25,15776,0.0
2006-08-26,14467,0.0
2006-08-27,4412,0.0
2006-08-28,9804,0.0
2006-08-29,10159,0.0
2006-08-30,6728,0.0
2006-08-31,7286,0.0
2006-09-01,7861,0.0
2006-09-02,4664,0.0
2006-09-03,3140,0.0
2006-09-04,3247,0.0
2006-09-05,5341,0.0
2006-09-06,3147,0.0
2006-09-07,5588,0.0
2006-09-08,6898,0.0
2006-09-09,2850,0.0
2006-09-10,2706,0.0
2006-09-11,6624,0.0
2006-09-12,8633,0.0
2006-09-13,12519,0.0
2006-09-14,8936,0.0
2006-09-15,3425,0.0
2006-09-16,17121,0.0
2006-09-17,277477,0.0
2006-09-18,788297,0.0
2006-09-19,8139,0.0
2006-09-20,31305,0.0
2006-09-21,9310,0.0
2006-09-22,5202,0.0
2006-09-23,8914,0.0
2006-09-24,4118,0.0
2006-09-25,5215,0.0
2006-09-26,13963,13963.0
2006-09-27,4143,0.0
2006-09-28,11149,0.0
2006-09-29,25281,0.0
2006-09-30,15485,0.0
