date,total_connections
2006-07-01,5058
2006-07-02,7437
2006-07-03,7248
2006-07-04,8280
2006-07-05,27189
2006-07-06,6391
2006-07-07,8971
2006-07-08,9240
2006-07-09,4380
2006-07-10,6320
2006-07-11,5020
2006-07-12,5429
2006-07-13,3753
2006-07-14,4283
2006-07-15,10839
2006-07-16,4758
2006-07-17,13214
2006-07-18,15244
2006-07-19,11754
2006-07-20,8499
2006-07-21,13023
2006-07-22,3928
2006-07-23,26769
2006-07-24,10926
2006-07-25,6497
2006-07-26,9888
2006-07-27,7785
2006-07-28,14514
2006-07-29,4485
2006-07-30,4309
2006-07-31,9667
2006-08-01,10163
2006-08-02,10020
2006-08-03,4905
2006-08-04,12395
2006-08-05,4441
2006-08-06,7427
2006-08-07,4602
2006-08-08,12687
2006-08-09,10342
2006-08-10,9983
2006-08-11,13588
2006-08-12,10778
2006-08-13,6152
2006-08-14,8407
2006-08-15,14900
2006-08-16,12159
2006-08-17,31044
2006-08-18,7270
2006-08-19,9433
2006-08-20,11091
2006-08-21,25218
2006-08-22,23246
2006-08-23,17390
2006-08-24,11629
2006-08-25,15776
2006-08-26,14467
2006-08-27,4412
2006-08-28,9804
2006-08-29,10159
2006-08-30,6728
2006-08-31,7286
2006-09-01,7861
2006-09-02,4664
2006-09-03,3140
2006-09-04,3247
2006-09-05,5341
2006-09-06,3147
2006-09-07,5588
2006-09-08,6898
2006-09-09,2850
2006-09-10,2706
2006-09-11,6624
2006-09-12,8633
2006-09-13,12519
2006-09-14,8936
2006-09-15,3425
2006-09-16,17121
2006-09-17,35000
2006-09-18,35000
2006-09-19,8139
2006-09-20,31305
2006-09-21,9310
2006-09-22,5202
2006-09-23,8914
2006-09-24,4118
2006-09-25,5215
2006-09-26,13963
2006-09-27,4143
2006-09-28,11149
2006-09-29,25281
2006-09-30,15485
